,links
661,https://www.dr.dk/nyheder/regionale/midtvest/naar-skoen-fortaeller-historie
662,https://www.dr.dk/nyheder/kultur/tv-avisen-kaprer-ny-vaert-fra-tv-2-news
663,https://www.dr.dk/nyheder/regionale/nordjylland/tavshed-om-homovielser-problem-demokrati
664,https://www.dr.dk/nyheder/politik/ozlem-cekic-paa-facebook-jeg-siger-ikke-noget-foer-paa-loerdag
665,https://www.dr.dk/nyheder/regionale/syd/ic4-skal-koere-mellem-esbjerg-og-aarhus-hurtigst-muligt
666,https://www.dr.dk/nyheder/billedserie-takkegudstjeneste-i-st-pauls-cathedral
667,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/10/164123.htm?focusId=3544063
668,https://www.dr.dk/nyheder/politik/bredt-flertal-en-helt-ny-storstroemsbro
669,https://www.dr.dk/nyheder/regionale/fyn/biskop-banker-praest-paa-plads
782,https://www.dr.dk/nyheder/billedserie-paa-line-over-niagara-falls
783,https://www.dr.dk/Nyheder/Temaer/2012/EU/2012/05/03/103040.htm?focusId=3580935
784,https://www.dr.dk/nyheder/udland/libanon-mellemoestens-kosmetiske-mekka
785,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/singler-koster-miljoeet-dyrt
786,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=3573324
787,https://www.dr.dk/Nyheder/Billedserier/2012/06/20123812.htm?focusId=4187298
788,https://www.dr.dk/Nyheder/Billedserier/2012/06/27113748.htm?focusId=3088931
789,https://www.dr.dk/nyheder/2015/05/05145039.htm?focusId=3573062
790,https://www.dr.dk/nyheder/billedserie-foelg-de-danske-fans-opvarmning-til-braget-mod-tyskland
791,https://www.dr.dk/Nyheder/Baggrund/2012/05/21083157.htm?focusId=3779120
914,https://www.dr.dk/nyheder/indland/nytaarsforsaettet-er-slut-drop-nikotintyggegummiet
915,https://www.dr.dk/Nyheder/Billedserier/2012/06/16170132.htm?focusId=4216832
916,https://www.dr.dk/nyheder/indland/krisen-faar-folk-til-holde-mund-om-jobbet
917,https://www.dr.dk/nyheder/penge/danskernes-gaeld-vokser-og-vokser
918,https://www.dr.dk/nyheder/billedserie-sverige-mod-ukraine
919,https://www.dr.dk/nyheder/penge/kampen-mod-pirater-baerer-frugt
920,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=3851708
921,https://www.dr.dk/nyheder/regionale/fyn/vollsmose-derfor-er-der-tit-konflikter
922,https://www.dr.dk/nyheder/billedserier/2012/06/06081804.htm?focusId=4167718
923,https://www.dr.dk/Nyheder/2012/06/13190459.htm?focusId=3923205
1056,https://www.dr.dk/Nyheder/Billedserier/2012/06/27113748.htm?focusId=4216832
1057,https://www.dr.dk/nyheder/billedserie-hu-jintao-moeder-mogens-lykketoft-og-helle-thorning-schmidt
1058,https://www.dr.dk/nyheder/testartikel-til-lyd-og-video?focusId=4183096
1059,https://www.dr.dk/Nyheder/Billedserier/2012/06/29212339.htm?focusId=4113739
1060,https://www.dr.dk/Nyheder/Billedserier/2012/06/16170132.htm?focusId=3089093
1061,https://www.dr.dk/nyheder/nyt-forskningsprojekt-skal-vise-paalideligheden-af-lyntest?focusId=3141153
1062,https://www.dr.dk/nyheder/baggrund/2012/02/163053.htm?focusId=3923205
1063,https://www.dr.dk/Nyheder/Baggrund/2012/06/04110118.htm?focusId=4167771
1064,https://www.dr.dk/Nyheder/Billedserier/2012/06/25163752.htm?focusId=4216747
1065,https://www.dr.dk/nyheder/din-mening-fik-jesper-det-rigtige-raad-af-mit-publikum
1208,https://www.dr.dk/Nyheder/Temaer/2012/EU/2012/01/17/145732.htm?focusId=3463480
1209,https://www.dr.dk/Nyheder/2012/06/13190459.htm?focusId=3539039
1210,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=4275947
1211,https://www.dr.dk/nyheder/artikler/2014/03/02/163347.htm?focusId=4218285
1212,https://www.dr.dk/Nyheder/Billedserier/2012/06/16170132.htm?focusId=4167896
1213,https://www.dr.dk/nyheder/service/2007/04/24082944.htm?focusId=4275947
1214,https://www.dr.dk/nyheder/2015/05/05141257.htm?focusId=3833262
1215,https://www.dr.dk/Nyheder/Baggrund/2012/06/26124433.htm?focusId=3266242
1216,https://www.dr.dk/nyheder/indland/anklagere-er-tilfredse-med-terrorstraf
1217,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=4113762
1370,https://www.dr.dk/nyheder/billedserie-heftige-oversvoemmelser-i-indien
1371,https://www.dr.dk/Nyheder/Billedserier/2012/06/02101657.htm?focusId=4169785
1372,https://www.dr.dk/Nyheder/Artikler/2012/06/26/074740.htm?focusId=3461728
1373,https://www.dr.dk/nyheder/penge/kontant/2014/01/21103837.htm?focusId=4286180
1374,https://www.dr.dk/Nyheder/Artikler/2012/06/27/27110802.htm
1375,https://www.dr.dk/nyheder/billedserie-ems-femte-dag
1376,https://www.dr.dk/nyheder/indland/peter-sandoee-traekker-sig-som-dyreetisk-formand
1377,https://www.dr.dk/Nyheder/Billedserier/2012/06/02101657.htm?focusId=4167771
1378,https://www.dr.dk/Nyheder/Baggrund/2012/06/04110118.htm?focusId=3546851
1379,https://www.dr.dk/Nyheder/Billedserier/2012/06/04084702.htm?focusId=2985767
1542,https://www.dr.dk/nyheder/overblik-saadan-forloeb-retssagen-mod-breivik
1543,https://www.dr.dk/Nyheder/Billedserier/2012/06/14154442.htm?focusId=3406994
1544,https://www.dr.dk/Nyheder/Billedserier/2012/06/17162650.htm?focusId=3546901
1545,https://www.dr.dk/nyheder/billedserie-george-michael-gennem-tiden?focusId=3923402
1546,https://www.dr.dk/Nyheder/Temaer/2011/ti_aar_efter_1109/Artikler/2011/08/31133520.htm?focusId=3120466
1547,https://www.dr.dk/Nyheder/Billedserier/2012/06/18225706.htm?focusId=3004648
1548,https://www.dr.dk/Nyheder/Baggrund/2012/06/26124433.htm?focusId=3371966
1549,https://www.dr.dk/Nyheder/Artikler/2012/06/26/131015.htm?focusId=4167516
1550,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=3047689
1551,https://www.dr.dk/nyheder/baggrund/2012/02/03122854.htm?focusId=3774480
1724,https://www.dr.dk/Nyheder/Artikler/2012/06/26/135918.htm?focusId=3511743
1725,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=3591056
1726,https://www.dr.dk/Nyheder/2012/06/13190459.htm?focusId=3538964
1727,https://www.dr.dk/Nyheder/2012/06/13190459.htm?focusId=3395301
1728,https://www.dr.dk/Nyheder/Billedserier/2012/06/18225706.htm?focusId=3016453
1729,https://www.dr.dk/Nyheder/Billedserier/2012/06/02101657.htm?focusId=3588047
1730,https://www.dr.dk/Nyheder/Billedserier/2012/06/12072509.htm?focusId=2762636
1731,https://www.dr.dk/Nyheder/Baggrund/2012/06/23084741.htm?focusId=3546670
1732,https://www.dr.dk/nyheder/rebellen-fra-langeland-fyret-som-daglig-leder-vil-stadig-hjaelpe-de-svageste-borgere?focusId=4174872
1733,https://www.dr.dk/nyheder/regionale/fyn/27-kilo-amfetamin-gav-lang-faengselsdom
1916,https://www.dr.dk/nyheder/penge/banker-tjener-stort-paa-sloeve-overfoersler
1917,https://www.dr.dk/Nyheder/Baggrund/2012/06/23084741.htm?focusId=3546765
1918,https://www.dr.dk/nyheder/billedserier/2012/02/26111716.htm?focusId=3539779
1919,https://www.dr.dk/nyheder/billedserie-joergen-leth-fylder-75-aar
1920,https://www.dr.dk/Nyheder/Billedserier/2012/06/16170132.htm?focusId=3377105
1921,https://www.dr.dk/Nyheder/Baggrund/2012/06/23084741.htm?focusId=3102715
1922,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=3825069
1923,https://www.dr.dk/Nyheder/Baggrund/2012/01/10071308.htm?focusId=3141139
1924,https://www.dr.dk/nyheder/billedserier/2012/06/27165539.htm?focusId=3590894
1925,https://www.dr.dk/nyheder/live-rigsretten-dag-27-nogle-af-dem-der-var-helt-taet-paa-adskillelsen-af-parrene-skal?focusId=4167937
2118,https://www.dr.dk/Nyheder/Billedserier/2012/06/29212339.htm?focusId=4113762
2119,https://www.dr.dk/nyheder/billedserier/2012/08/12140635.htm?focusId=3648199
2120,https://www.dr.dk/Nyheder/Billedserier/2012/06/07124249.htm?focusId=3546765
2121,https://www.dr.dk/nyheder/brand-i-farligt-affald-i-virksomhed-i-nyborg?focusId=4275947
2122,https://www.dr.dk/Nyheder/Billedserier/2012/06/07124249.htm?focusId=3591056
2123,https://www.dr.dk/Nyheder/Baggrund/2012/06/26124433.htm?focusId=3540952
2124,https://www.dr.dk/nyheder/udland/laeger-fjerner-15-kilo-tung-tumor-fra-2-aarig-dreng
2125,https://www.dr.dk/Nyheder/Billedserier/2012/06/14154442.htm?focusId=3538786
2126,https://www.dr.dk/nyheder/billedserier/2012/10/12205219.htm?focusId=3546449
2127,https://www.dr.dk/Nyheder/2012/06/13190459.htm?focusId=3395215
2330,https://www.dr.dk/nyheder/billedserier/2012/02/09165046.htm?focusId=3455225
2331,https://www.dr.dk/nyheder/billedserier/2012/06/09142630.htm?focusId=3079289
2332,https://www.dr.dk/nyheder/test-dig-selv-hvor-meget-arbejder-vi-egentlig
2333,https://www.dr.dk/Nyheder/Billedserier/2012/06/25163752.htm?focusId=2838911
2334,https://www.dr.dk/Nyheder/Billedserier/2012/07/094212.htm?focusId=2981992
2335,https://www.dr.dk/nyheder/mette-bock-indstilles-som-kandidat-til-eu-parlamentet?focusId=4169502
2336,https://www.dr.dk/Nyheder/Billedserier/2012/06/13081326.htm?focusId=3588465
2337,https://www.dr.dk/Nyheder/Billedserier/2012/06/27113748.htm?focusId=3455225
2548,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/fixelancen-paa-nye-haender
2549,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/foerste-overdosis-i-fixelancen
2550,https://www.dr.dk/nyheder/politik/danmark-skal-eksportere-kreativitet-i-uddannelser
2551,https://www.dr.dk/nyheder/udland/et-aar-efter-terror-norge-mindes-sine-ofre
2552,https://www.dr.dk/Nyheder/Billedserier/2012/07/22194651.htm?focusId=3504083
2553,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/faa-kvindelige-professorer-paa-koebenhavns-universitet
2554,https://www.dr.dk/nyheder/regionale/trekanten/overbelaegningen-i-arresthusene-skal-ned
2555,https://www.dr.dk/nyheder/udland/marokko-udviser-syriens-ambassadoer
2556,https://www.dr.dk/nyheder/kultur/roskilde-fester-videre-trods-doedsfald
2557,https://www.dr.dk/nyheder/kultur/kronprinsen-jeg-er-faerdig-med-undskylde
2778,https://www.dr.dk/nyheder/udland/biograf-morder-var-psykiatrisk-patient
2779,https://www.dr.dk/nyheder/udland/hamas-henretter-tre-drab
2780,https://www.dr.dk/nyheder/regionale/sjaelland/konservativ-europamester
2781,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/stadig-mangel-paa-frivillige-haender
2782,https://www.dr.dk/Nyheder/Baggrund/2012/07/20/064607.htm?focusId=3511365
2783,https://www.dr.dk/nyheder/regionale/sjaelland/kvindelig-pyroman-skal-blive-i-faengsel
2784,https://www.dr.dk/nyheder/indland/eftersoegning-af-fisker-stoppet
2785,https://www.dr.dk/nyheder/indland/vvser-finder-vaaben-hos-doemt-vaabenhandler
2786,https://www.dr.dk/nyheder/kultur/sjove-katte-faar-egen-filmfestival
2787,https://www.dr.dk/nyheder/regionale/bornholm/ultraloeber-udvalgt-til-222-kilometer
3018,https://www.dr.dk/nyheder/indland/fanger-spaerrede-betjent-inde-og-stak-af
3019,https://www.dr.dk/nyheder/regionale/syd/bramgaes-oedelaegger-afgroeder-100000
3020,https://www.dr.dk/nyheder/regionale/oestjylland/minister-skal-se-paa-fair-trade
3021,https://www.dr.dk/nyheder/politik/df-vil-give-laeger-meldepligt-ved-omskaeringer
3022,https://www.dr.dk/nyheder/video-aabningsceremonier-gennem-tiden
3023,https://www.dr.dk/nyheder/indland/oversvoemmelse-i-sverige-daemninger-brudt
3024,https://www.dr.dk/nyheder/regionale/nordjylland/jeppe-green-bliver-ny-hoejrefloej
3025,https://www.dr.dk/nyheder/indland/foerste-slagelse-patienter-kan-aande-lettet-op
3026,https://www.dr.dk/nyheder/regionale/sjaelland/politiet-bekraefter-det-var-olietyve
3027,https://www.dr.dk/nyheder/regionale/fyn/bibliotekspenge-til-josefine-ottesen
3268,https://www.dr.dk/nyheder/politik/enhedslisten-bankerne-skal-undersoeges-nu
3269,https://www.dr.dk/nyheder/indland/svensk-mand-doed-af-narko-paa-roskilde-festival
3270,https://www.dr.dk/nyheder/regionale/oestjylland/de-yngler-vildt-paa-samsoe
3271,https://www.dr.dk/nyheder/regionale/midtvest/studerende-suger-til-sig-paa-lejr
3272,https://www.dr.dk/nyheder/regionale/syd/ventede-i-10-aar-paa-ny-stald-det-var-som-spille-ludo
3273,https://www.dr.dk/nyheder/regionale/sjaelland/lundbech-er-kommet-et-skridt-foran-konkurrenterne
3274,https://www.dr.dk/nyheder/vejret/her-er-solen
3275,https://www.dr.dk/nyheder/regionale/syd/nedsat-hastighed-lokker-cyklister-ud-paa-vejen
3276,https://www.dr.dk/nyheder/penge/moodys-advarer-europas-oekonomiske-dukse
3277,https://www.dr.dk/nyheder/vejret/vaade-sommerweekender
3528,https://www.dr.dk/Nyheder/Billedserier/2012/07/22194651.htm?focusId=3544063
3529,https://www.dr.dk/nyheder/politik/styrelse-asylansoegere-i-vollsmose-er-den-bedste-loesning
3530,https://www.dr.dk/nyheder/kultur/roskilde-skal-forberede-sig-alle-faar-lidt-regn-i-morgen
3531,https://www.dr.dk/nyheder/regionale/bornholm/endnu-en-sigtet-i-narkosag
3532,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/montmartre-truer-med-boykot-af-jazzfestival
3533,https://www.dr.dk/nyheder/regionale/sjaelland/motorcyklist-kvaestet-af-bil-i-roennede
3534,https://www.dr.dk/nyheder/billedserier/2012/07/08164907.htm?focusId=4183753
3535,https://www.dr.dk/nyheder/din-mening-er-det-ok-pensionsselskaberne-opkraever-milliarder
3536,https://www.dr.dk/nyheder/din-mening-vil-du-have-madrester-med-hjem
3537,https://www.dr.dk/nyheder/billedserier/2012/07/08164907.htm?focusId=4172370
3798,https://www.dr.dk/nyheder/regionale/trekanten/fanger-stukket-af-fra-kolding-arrest
3799,https://www.dr.dk/nyheder/udland/michael-jacksons-mor-er-meldt-savnet
3800,https://www.dr.dk/nyheder/indland/forsker-olaf-olsen-lavede-rugbroedsarbejde
3801,https://www.dr.dk/nyheder/penge/vestas-aktie-paa-rutsjetur-efter-opkoebsrygter
3802,https://www.dr.dk/nyheder/penge/selv-et-aars-arbejdsloeshed-skader-pensionen
3803,https://www.dr.dk/nyheder/billedserier/2012/07/24090750.htm?focusId=3138785
3805,https://www.dr.dk/nyheder/regionale/sjaelland/lukning-af-elektrochok-klinik-skaber-utryghed
3806,https://www.dr.dk/nyheder/regionale/fyn/syddansk-universitet-slaar-egen-rekord
3807,https://www.dr.dk/nyheder/indland/hoeje-kornpriser-gavner-ikke-danske-landmaend
4078,https://www.dr.dk/nyheder/kultur/tjek-din-viden-udloeser-ti-armbaand-et-gratis
4079,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/kultur/tjek-din-viden-udloeser-ti-armbaand-et-gratis&sa=X&ved=2ahUKEwjdqr-F8cb5AhUSCewKHVWPDDw4PBAfegQIAxAJ
4080,https://www.dr.dk/nyheder/regionale/fyn/jagt-paa-udenlandske-laeger-aflyst
4081,https://www.dr.dk/nyheder/kultur/video-saadan-saa-roskilde-ud-i-70erne
4082,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/kultur/video-saadan-saa-roskilde-ud-i-70erne&sa=X&ved=2ahUKEwjdqr-F8cb5AhUSCewKHVWPDDw4PBAfegQIBhAJ
4083,https://www.dr.dk/nyheder/din-mening-ok-afvise-raske
4084,https://www.dr.dk/nyheder/billedserier/2012/07/08164907.htm?focusId=4072342
4085,https://www.dr.dk/nyheder/billedserier/2012/07/31170506.htm?focusId=3543941
4086,https://www.dr.dk/nyheder/regionale/midtvest/skunkfabrik-afsloeret-i-nedlagt-fabrik
4087,https://www.dr.dk/nyheder/indland/syv-milliarder-mindre-er-brugt-paa-sundhed
4088,https://www.dr.dk/nyheder/billedserier/2012/07/08164907.htm?focusId=3414255
4089,https://www.dr.dk/nyheder/regionale/sjaelland/bonbon-gaester-bliver-vaek
4372,https://www.dr.dk/nyheder/politik/video-messerschmidt-til-thorning-shame-you
4373,https://www.dr.dk/nyheder/indland/ung-mand-draebt-af-tigerne-i-koebenhavn-zoo
4374,https://www.dr.dk/nyheder/indland/blaa-bog-anker-joergensen
4375,https://www.dr.dk/nyheder/billedserier/2012/07/31170506.htm?focusId=3774480
4376,https://www.dr.dk/nyheder/regionale/fyn/ekstra-penge-til-pasning-faar-lille-effekt
4377,https://www.dr.dk/nyheder/indland/et-farvel-til-efterloennen-kan-koste-50-aarige-dyrt
4378,https://www.dr.dk/nyheder/regionale/nordjylland/uruguay-slog-danmark-i-haandbold
4379,https://www.dr.dk/nyheder/billedserier/2012/07/12114401.htm?focusId=3590975
4380,https://www.dr.dk/Nyheder/Billedserier/2012/07/19181400.htm?focusId=4187330
4381,https://www.dr.dk/nyheder/regionale/midtvest/louise-spellerberg-ude-af-ol
4674,https://www.dr.dk/nyheder/indland/seks-personer-faengslet-i-stor-speed-sag
4675,https://www.dr.dk/nyheder/din-mening-skal-vi-goere-ligesom-i-spanien
4676,https://www.dr.dk/nyheder/regionale/midtvest/mange-sender-bud-efter-en-schweisshund
4677,https://www.dr.dk/Nyheder/Billedserier/2012/07/12203818.htm?focusId=4216747
4678,https://www.dr.dk/nyheder/indland/nasa-indlandsisen-smelter-med-rekordfart
4679,https://www.dr.dk/nyheder/kultur/forfatteren-suzanne-giese-er-doed-66-aar
